ئا: ﻿ئا
ئائورتا: ئائورتا
ئائىت: ئائىت
ئائىلىدىكى: ئائىلە,دىكى
ئائىلىدىكىلەر: ئائىلە,دىكى,لەر
ئائىلىدىن: ئائىلە,دىن
ئائىلىدە: ئائىلە,دە
ئائىلىسى: ئائىلە,سى
ئائىلىسىدىكىلەر: ئائىلە,سى,دىكى,لەر
ئائىلىسىدىكىلەرنىڭ: ئائىلە,سى,دىكى,لەر,نىڭ
ئائىلىسىدىكىلەرگە: ئائىلە,سى,دىكى,لەر,گە
ئائىلىسىدە: ئائىلە,سى,دە
ئائىلىسىمۇ: ئائىلە,سى,مۇ
ئائىلىسىنىڭ: ئائىلە,سى,نىڭ
ئائىلىسىگە: ئائىلە,سى,گە
ئائىلىلىرىمۇ: ئائىلە,لەر,ى,مۇ
ئائىلىلىرىنى: ئائىلە,لەر,ى,نى
ئائىلىلىرىنىڭ: ئائىلە,لەر,ى,نىڭ
ئائىلىلىك: ئائىلە,لىك
ئائىلىلىكنىڭ: ئائىلە,لىك,نىڭ
ئائىلىلەر: ئائىلە,لەر
ئائىلىلەردىكى: ئائىلە,لەر,دىكى
ئائىلىلەردىن: ئائىلە,لەر,دىن
ئائىلىلەردە: ئائىلە,لەر,دە
ئائىلىلەرمۇ: ئائىلە,لەر,مۇ
ئائىلىلەرنى: ئائىلە,لەر,نى
ئائىلىلەرنىڭ: ئائىلە,لەر,نىڭ
ئائىلىلەرگىچە: ئائىلە,لەر,گىچە
ئائىلىلەرگە: ئائىلە,لەر,گە
ئائىلىمىزدىكى: ئائىلە,مىز,دىكى
ئائىلىمىزنى: ئائىلە,مىز,نى
ئائىلىنى: ئائىلە,نى
ئائىلىنىڭ: ئائىلە,نىڭ
ئائىلىڭىزدە: ئائىلە,ڭىز,دە
ئائىلىگە: ئائىلە,گە
ئائىلىۋى: ئائىلىۋى
ئائىلە: ئائىلە
ئائىلەرگە: ئائىلەر,گە
ئابايىت: ئابايىت
ئاباۋ: ئاباۋ
ئابباس: ئابباس
ئابباسنىڭ: ئابباس,نىڭ
ئابخىسىت: ئابخىسىت
ئابخىسىتنى: ئابخىسىت,نى
ئابدۇراخمان: ئابدۇراخمان
ئابدۇراھمان: ئابدۇراھمان
ئابدۇراھماننىڭ: ئابدۇراھمان,نىڭ
ئابدۇروسۇل: ئابدۇروسۇل
ئابدۇرۇسۇل: ئابدۇرۇسۇل
ئابدۇرېشىت: ئابدۇرېشىت
ئابدۇرېھىم: ئابدۇرېھىم
ئابدۇرېھىملار: ئابدۇرېھىم,لار
ئابدۇسالام: ئابدۇسالام
ئابدۇغېنى: ئابدۇغېنى
ئابدۇقادىر: ئابدۇقادىر
ئابدۇكېرىم: ئابدۇكېرىم
ئابدۇل: ئابدۇل
ئابدۇللا: ئابدۇللا
ئابدۇلىتىپ: ئابدۇلىتىپ
ئابدۇلېتىپ: ئابدۇلېتىپ
ئابرۇيلۇق: ئابرۇيلۇق
ئابلا: ئابلا
ئابلاجان: ئابلاجان
ئابلىز: ئابلىز
ئابلىمىت: ئابلىمىت
ئابونتلار: ئابونت,لار
ئابىدىسى: ئابىدىسى
ئابىدىلىك: ئابىدىلىك
ئابىدىلەرنىڭ: ئابىدە,لەر,نىڭ
ئابىدە: ئابىدە
ئابىلمەجىن: ئابىلمەجىن
ئابىلمەجىننىڭ: ئابىلمەجىن,نىڭ
ئابۇدەبى: ئابۇدەبى
ئابۇكەش: ئابۇكەش
ئابۇنتلار: ئابۇنت,لار
ئابۇنىچىلىرىنىڭ: ئابۇنىچى,لەر,ى,نىڭ
ئابۇيوگ: ئابۇيوگ
ئابې: ئابې
ئابېنىڭ: ئابې,نىڭ
ئات: ئات
ئاتا: ئاتا
ئاتاش: ئاتاش
ئاتاشتەك: ئاتاش,تەك
ئاتاقلىق: ئاتاقلىق
ئاتالدى: ئاتال,دى
ئاتالغان: ئاتال,غان
ئاتالمىش: ئاتال,مىش
ئاتايدىغان: ئاتا,يدىغان
ئاتايدىكەن: ئاتا,يدىكەن
ئاتايدۇ: ئاتا,يدۇ
ئاتاپ: ئاتا,پ
ئاتكرىتكا: ئاتكرىتكا
ئاتكرىتكىسى: ئاتكرىتكا,سى
ئاتلانتا: ئاتلانتا
ئاتلاندۇرغان: ئاتلاندۇر,غان
ئاتلانغان: ئاتلان,غان
ئاتلانمىسا: ئاتلانما,سا
ئاتلاپ: ئاتلا,پ
ئاتلىنىشقا: ئاتلان,ىش,قا
ئاتلىنىپ: ئاتلان,ىپ
ئاتلېتىكا: ئاتلېتىكا
ئاتماسلىقنىڭ: ئاتما,س,لىق,نىڭ
ئاتموسفېرا: ئاتموسفېرا
ئاتموسفېرادىكى: ئاتموسفېرا,دىكى
ئاتموسفېراسىنىڭ: ئاتموسفېرا,سى,نىڭ
ئاتموسفېرانىڭ: ئاتموسفېرا,نىڭ
ئاتوم: ئاتوم
ئاتىدى: ئاتا,دى
ئاتىسى: ئاتا,سى
ئاتىشىنى: ئاتاش,ى,نى
ئاتىغان: ئاتا,غان
ئاتىلىدۇ: ئاتال,ىدۇ
ئاتىلشى: ئاتال,ش,ى
ئاتىۋالغان: ئاتىۋال,غان
ئاتچوت: ئاتچوت
ئاتۇش: ئاتۇش
ئاجايىپ: ئاجايىپ
ئاجراتتى: ئاجرات,تى
ئاجراتقان: ئاجرات,قان
ئاجرىتىش: ئاجرات,ىش
ئاجرىتشنى: ئاجرات,ش,نى
ئاجرىتىلغان: ئاجرىتىل,غان
ئاجرىتىلىدىغان: ئاجرىتىل,ىدىغان
ئاجرىتىلىپ: ئاجرىتىل,ىپ
ئاجرىتىپ: ئاجرات,ىپ
ئاجرىشىپ: ئاجراش,ىپ
ئاجىز: ئاجىز
ئاجىزراق: ئاجىز,راق
ئاجىزلاش: ئاجىزلا,ش
ئاجىزلاشتۇرماي: ئاجىزلاشتۇرما,ي
ئاجىزلاشتۇرتۇرۇپ: ئاجىزلاشتۇرتۇر,ۇپ
ئاجىزلاشتۇرۇۋەتتى: ئاجىزلاشتۇرۇۋەت,تى
ئاجىزلىدى: ئاجىزلا,دى
ئاخبارات: ئاخبارات
ئاخباراتتا: ئاخبارات,تا
ئاخباراتتىكى: ئاخبارات,تا,كى
ئاخباراتلار: ئاخبارات,لار
ئاخباراتلارنىڭ: ئاخبارات,لار,نىڭ
ئاخباراتنى: ئاخبارات,نى
ئاخباراتنىڭ: ئاخبارات,نىڭ
ئاخباراتى: ئاخبارات,ى
ئاخبارات: ئاخبارات
ئاخباراتىدىن: ئاخبارات,ى,دىن
ئاخباراتچىلار: ئاخباراتچى,لار
ئاخباراتچىلارنىڭ: ئاخباراتچى,لار,نىڭ
ئاختۇرغان: ئاختۇر,غان
ئاختۇرۇپ: ئاختۇر,ۇپ
ئاخىر: ئاخىر
ئاخىردا: ئاخىر,دا
ئاخىرغىچە: ئاخىر,غىچە
ئاخىرقى: ئاخىر,قى
ئاخىر: ئاخىر
ئاخىرلاشتى: ئاخىرلاش,تى
ئاخىرلاشتۇرغان: ئاخىرلاشتۇر,غان
ئاخىرلاشتۇرغاندىن: ئاخىرلاشتۇر,غان,دىن
ئاخىرلاشتۇرغىلى: ئاخىرلاشتۇر,غىلى
ئاخىرلاشتۇرماسلىق: ئاخىرلاشتۇرما,س,لىق
ئاخىرلاشتۇرماسلىقتا: ئاخىرلاشتۇرما,س,لىق,تا
ئاخىرلاشتۇرىمىز: ئاخىرلاشتۇر,ىمىز
ئاخىرلاشتۇرۇش: ئاخىرلاشتۇر,ۇش
ئاخىرلاشتۇرۇشقا: ئاخىرلاشتۇر,ۇش,قا
ئاخىرلاشتۇرۇشنى: ئاخىرلاشتۇر,ۇش,نى
ئاخىرلاشتۇرۇپ: ئاخىرلاشتۇر,ۇپ
ئاخىرلاشقان: ئاخىرلاش,قان
ئاخىرلاشقاندىن: ئاخىرلاش,قان,دىن
ئاخىرلاشقىنىغا: ئاخىرلاش,قان,ى,غا
ئاخىرلاشقىچە: ئاخىرلاش,قىچە
ئاخىرلىر: ئاخىر,لار
ئاخىرلىشىدۇ: ئاخىرلاش,ىدۇ
ئاخىرلىشىش: ئاخىرلاش,ىش
ئاخىرلىشىشتىن: ئاخىرلاش,ىش,تىن
ئاخىرلىشىشىغا: ئاخىرلاش,ىش,ى,غا
ئاخىرلىشىپ: ئاخىرلاش,ىپ
ئاخىرى: ئاخىر,ى
ئاخىر: ئاخىر
ئاخىرىدىكى: ئاخىر,ى,دىكى
ئاخىردىن: ئاخىر,دىن
ئاخىرىغا: ئاخىر,ى,غا
ئاخىرىغىچە: ئاخىر,ى,غىچە
ئاخىرەتلىك: ئاخىرەتلىك
ئادا: ئادا
ئادالەت: ئادالەت
ئادالەتچىلەر: ئادالەتچى,لەر
ئاددىي: ئاددىي
ئاددىيلاشتۇرۇش: ئاددىيلاشتۇر,ۇش
ئاددىيلاشتۇرۇلغان: ئاددىيلاشتۇرۇل,غان
ئاددىيلاشتۇرۇپ: ئاددىيلاشتۇر,ۇپ
ئاددىيلىشىدىكەن: ئاددىيلاش,ىدىكەن
ئادرېسى: ئادرېس,ى
ئادرېسىغا: ئادرېس,ى,غا
ئادرېسىنى: ئادرېس,ى,نى
ئادىتى: ئادەت,ى
ئادىتىنى: ئادەت,ى,نى
ئادىل: ئادىل
ئادىلسىز: ئادىلسىز
ئادىللىق: ئادىللىق
ئادىللىققا: ئادىللىق,قا
